from,to,time
国投高科,仙琚制药,2001
国成科技,键桥通讯,2001
广州科风投,广东银达,2001
广东科创投,榕泰实业,2001
广东风投,秀珀化工,2001
高盛,中芯国际,2001
高盛,中国网通,2001
高盛,长天科技,2001
富鑫国际,展讯,2001
富通股权投资,展讯,2001
泛友创投,泛友科技,2001
东盛创投,大族激光,2001
德银中国,中芯国际,2001
德丰杰龙脉中国基金,凌讯科技,2001
大鹏创投,回天胶业,2001
大和企业投资,和舰科技,2001
达晨创投,中汇医药,2001
达晨创投,湘云生物,2001
达晨创投,西风科技,2001
达晨创投,拓维信息,2001
达晨创投,同洲电子,2001
达晨创投,键桥通讯,2001
成为,思华科技,2001
晨兴集团,秋山国际,2001
晨兴创投,光桥科技,2001
辰能风投,工大科软,2001
北控高科,中生北控,2001
北京科技风投,微芯生物,2001
北京国资,首信易支付,2001
霸菱亚洲,普联软件,2001
安徽科投,华星化工,2001
NIF,和舰科技,2001
IDG资本,直真节点,2001
IDG资本,一德企业,2001
IDG资本,万申,2001
IDG资本,朗玛,2001
IDG资本,创我科技,2001
IDG资本,畅讯科技,2001
Fidelity,英斯克,2001
DCM,前程无忧 (51job),2001
CCID,红旗软件,2001
中信资产,新意软件,2002
中科招商,杰赛科技,2002
中经合,上海矽魁,2002
中经合,乐升科技,2002
中经合,铼聚,2002
中经合,彩练信息,2002
智基创投,展讯,2002
智基创投,优创科技,2002
智基创投,天盟网络,2002
智基创投,上海新进,2002
智基创投,BCD半导体,2002
浙江省创业投资,西部金属,2002
招商科技,新意软件,2002
招商局中国基金,廊坊东方教育,2002
张江创投,微创医疗,2002
张江创投,微创医疗,2002
张江创投,通微分析技术,2002
张江创投,纳贝生物,2002
张江创投,鼎芯半导体,2002
张江创投,爱世博,2002
涌金投资,千金药业,2002
永威投资,晶门科技,2002
盈富泰克,凯明信息,2002
盈富泰克,格林美,2002
盈富泰克,巴莫科技,2002
英特尔投资,天盟网络,2002
英特尔投资,尚阳科技,2002
英特尔投资,上海新进,2002
英特尔投资,赛龙国际,2002
英特尔投资,联创科技,2002
英特尔投资,邦永科技,2002
英联,蒙牛,2002
怡和创投,智芯科技,2002
怡和创投,展讯,2002
怡和创投,华亚微,2002
幸福投资,致远协创,2002
信中利,富通科技,2002
新意网,赛龙国际,2002
新加坡政府投资,联创科技,2002
新安财富创投,南北科技,2002
新安财富创投,合力金桥,2002
祥峰集团,智芯科技,2002
祥峰集团,展讯,2002
梧桐投资,智芯科技,2002
梧桐投资,尚阳科技,2002
无锡市科达创投,力芯微电子,2002
无锡市创投,力芯微电子,2002
无锡高新投,力芯微电子,2002
葳尔资本,民生投资管理（原健特生物）,2002
同创伟业,格林美,2002
通联资本,正原电气,2002
苏州创投,沪电股份,2002
苏大投资,明世光学,2002
松禾资本,华动飞天,2002
首创科技公司,首创大地药业,2002
深圳创新投,新中大软件,2002
深圳创新投,西部金属,2002
深圳创新投,潍柴动力,2002
深圳创新投,微创医疗,2002
深圳创新投,微创医疗,2002
深圳创新投,泰富实业,2002
深圳创新投,泰德激光,2002
深圳创新投,上影数码,2002
深圳创新投,鹏博士,2002
深圳创新投,朗科科技,2002
深圳创新投,福晶科技,2002
上实投资,展讯,2002
上海邮通,上海矽魁,2002
上海新鑫投资,上海华虹半导体,2002
赛富投资基金,适普软件,2002
赛富投资基金,博康,2002
软银中国,赛龙国际,2002
软银中国,联创科技,2002
软银中国,彩练信息,2002
清华科技园创投,力合环保,2002
清华创投,汉星天,2002
启峰,乐升科技,2002
启迪创投,慧点科技,2002
启迪创投,回而生,2002
启迪创投,海兰信,2002
浦东科投,通微分析技术,2002
浦东科投,纳贝生物,2002
浦东科投,爱世博,2002
摩根士丹利,蒙牛,2002
摩根士丹利,邦永科技,2002
曼聂舵,尚阳科技,2002
曼聂舵,互动通,2002
龙科创投,天盟网络,2002
龙科创投,港湾网络,2002
联想投资,展讯,2002
联想投资,上海华虹半导体,2002
联想投资,绿盟科技,2002
联想投资,联信永益,2002
联想投资,彩练信息,2002
力合清源创投,清华力合电子,2002
力合清源创投,力合信息港(清华信息港),2002
力合清源创投,力合国际技术转移,2002
力合清源创投,和而泰,2002
兰馨亚洲,智联招聘,2002
凯雷,意马国际,2002
凯雷,太平洋百货,2002
凯雷,鸿亚光电,2002
凯雷,艾德斯,2002
卡贝基金资本,艺龙旅行网(e龙),2002
经济发展局投资,宏桥高科,2002
江苏省高投,洋河股份,2002
集富亚洲,上海新进,2002
集富亚洲,艾德斯,2002
集富亚洲,BCD半导体,2002
集富亚洲,3721,2002
基石创投,华商传媒,2002
华兴创投,华源城建,2002
华平,浙大网络,2002
华平,港湾网络,2002
华南通信投资,正原电气,2002
华晶,宏桥高科,2002
华汉投资,武汉健民,2002
华汉投资,马应龙,2002
华登国际,智芯科技,2002
华登国际,智汇科技,2002
华登国际,言丰科技有限公司,2002
华登国际,尚阳科技,2002
华登国际,彩练信息,2002
国投集团,中银国际证券,2002
国际金融公司,新世纪租赁,2002
广州科风投,杰赛科技,2002
广州科风投,高科通信,2002
广东科风投,格林美,2002
广东科创投,德生科技,2002
富鑫国际,展讯,2002
富通股权投资,展讯,2002
复旦量子,复旦水务,2002
泛友创投,东方英文书院,2002
恩颐投资,尚阳科技,2002
东湖创投,马应龙,2002
鼎晖投资,蒙牛,2002
淡马锡,掌上灵通,2002
大中华资本,上海新进,2002
大鹏创投,华中数控,2002
大华投资,宏桥高科,2002
大华投资,BCD半导体,2002
成为,互动通,2002
晨兴创投,中国抗体,2002
晨兴创投,第九城市,2002
晨兴创投,彩练信息,2002
辰能风投,中辰科技,2002
辰能风投,友搏药业,2002
辰能风投,慧通新意,2002
辰能风投,慧通爱迪,2002
财信创投,神农大丰,2002
北京国资,首通万维,2002
北京国资,北京集成电路设计园,2002
北京电信,联信永益,2002
北极光,展讯,2002
安徽科投,英科智控,2002
安徽科投,皖通,2002
安徽科投,六方,2002
安徽科投,奥绿,2002
Woodside,硅谷数模,2002
UT斯达康,赛龙国际,2002
SVC,新空气,2002
SMAC,BCD半导体,2002
IDG资本,易索得,2002
IDG资本,物美,2002
IDG资本,书生,2002
IDG资本,慧聪国际（慧聪网）,2002
IDG资本,硅谷数模,2002
IDG资本,邦永科技,2002
DCM,尚阳科技,2002
DCM,前程无忧 (51job),2002
DCM,硅谷数模,2002
住友商事,华润微电子（原华润上华）,2003
重庆科风投,泰科华谊,2003
重庆科风投,安驰科技,2003
中科招商,先锋软件,2003
中科招商,三北种业,2003
中科招商,钢研高纳,2003
中经合,新磊,2003
中经合,芯原,2003
中经合,挪沃克视讯,2003
中经合,慧荣,2003
中经合,闳晖实业,2003
中关村国际孵化器,彩讯科技,2003
中关村创业投资,四环医药,2003
中创投,Virgin Radio china,2003
中博创投,英硕,2003
智基创投,天盟网络,2003
智基创投,世芯电子,2003
智基创投,火马,2003
智基创投,光桥科技,2003
浙科投资,瑞霖化工,2003
招商科技,世龙实业（原江西电化精细）,2003
招商科技,电化高科,2003
招商科技,大族激光,2003
招商局中国基金,摩根士丹利华鑫基金（原巨田基金）,2003
招商局富鑫,豪义网络,2003
招商局富鑫,光桥科技,2003
长园盈佳,光迅科技,2003
长沙高新,福沁堂,2003
长沙高新,春光中药,2003
远邦投资,九城,2003
远邦投资,光桥科技,2003
永威投资,中芯国际,2003
盈富泰克,赛科瑞电子,2003
英特尔投资,天盟网络,2003
英特尔投资,双威通讯,2003
英特尔投资,迈普通信,2003
英特尔投资,昂科,2003
英特尔投资,BCD半导体,2003
英联,蒙牛,2003
银瑞达,华润微电子（原华润上华）,2003
银瑞达,宏迅软件,2003
壹普兰,空中网,2003
旭扬创投,世芯电子,2003
旭扬创投,凯华实业,2003
旭扬创投,闳晖实业,2003
旭扬创投,方泰电子,2003
星展,华润微电子（原华润上华）,2003
新桥,亚洲网通,2003
新加坡政府投资,兴业银行,2003
新加坡政府投资,李宁,2003
新安财富创投,凌讯科技,2003
橡子园,橡子软件,2003
祥峰集团,中芯国际,2003
祥峰集团,金融界,2003
湘投高创投,尤特尔,2003
湘投高创投,唐人神,2003
西安高新投,麦得法药业,2003
梧桐投资,樱花卫厨,2003
梧桐投资,如家,2003
梧桐投资,如家,2003
维众创投,分众传媒,2003
通环创投,芯原,2003
通环创投,爱讯特,2003
天图创投,凯明杨,2003
天津创投,华苑软件园,2003
苏州创投,奇梦达,2003
苏州创投,常铝铝业,2003
松禾资本,荣信股份,2003
松禾资本,华动飞天,2003
思科香港,摩比天线,2003
首创科技公司,同仁堂天然药物,2003
首创科技公司,同仁堂商业投资,2003
世纪方舟,安能热电,2003
深圳创新投,远望谷,2003
深圳创新投,朗科科技,2003
深圳创新投,东方纪元,2003
上实投资,中芯国际,2003
上海永宣,新景安太,2003
上海永宣,汉王科技,2003
上海信投,信投建设,2003
上海信投,上海硅知识产权交易中心,2003
上海信投,付费通,2003
上海科投,新生源,2003
上海华盈,兆日科技,2003
上海华盈,华友世纪,2003
上海创投,新源变频,2003
上海创投,上海高清,2003
上海创投,杰芙化学,2003
上海创投,交大高清,2003
上海创投,奥力健体育,2003
山东高新投,中创软件,2003
山东高新投,只楚股份,2003
山东高新投,通裕重工,2003
山东高新投,盛鑫漏板,2003
山东高新投,如意科技,2003
山东高新投,欧华蛋业,2003
山东高新投,鲁信药业,2003
山东高新投,龙力生物,2003
山东高新投,金鼎机械（原金鼎印染）,2003
山东高新投,高盈科技,2003
山东高新投,东岳氟硅,2003
山东高新投,达兴药业,2003
山东高新投,超越科技,2003
山东高新投,昌润剑杆织机,2003
三菱商事,联都实业,2003
赛富投资基金,移数通,2003
赛富投资基金,亚洲网通,2003
赛富投资基金,盛大,2003
赛富投资基金,摩比天线,2003
赛富投资基金,和舰科技,2003
软银中国,智赢,2003
软银中国,联梦娱乐,2003
软银中国,分众传媒,2003
融昌资产管理,螺髻山综合开发,2003
日亚投资,九城,2003
清华创投,中信华迪,2003
清华创投,首钢汽车解体厂,2003
清华创投,商务中心区通信,2003
清华创投,昂科,2003
青云创投,佩尔优,2003
青云创投,东江环保,2003
南京高风投,龙源环保,2003
摩根士丹利,蒙牛,2003
摩根士丹利,复地集团,2003
